courier,tracking_number,email,sms,order_id,title,order_path,customer_name,origin_country,destination_country,custom_1,custom_2,tracking_postal_code,tracking_ship_date,tracking_account_number,tracking_key,tracking_destination_country
nacex-spain,,,,,,,,,,,,,,,,
mrw-spain,,,,,,,,,,,,,,,,
spanish-seur,,,,,,,,,,,,,,,,
international-seur,,,,,,,,,,,,,,,,
portugal-ctt,,,,,,,,,,,,,,,,
chronopost-portugal,,,,,,,,,,,,,,,,
portugal-seur,,,,,,,,,,,,,,,,
la-poste-colissimo,,,,,,,,,,,,,,,,
chronopost-france,,,,,,,,,,,,,,,,
postnl,,,,,,,,,,,,,,,,
dhl-nl,,,,,,,,,,,,,,,,
toll-ipec,,,,,,,,,,,,,,,,
tntpost-it,,,,,,,,,,,,,,,,
tnt-fr,,,,,,,,,,,,,,,,
toll-priority,,,,,,,,,,,,,,,,
toll-global-express,,,,,,,,,,,,,,,,
tnt-au,,,,,,,,,,,,,,,,
selektvracht,,,,,,,,,,,,,,,,
gls,,,,,,,,,,,,,,,,
bpost,,,,,,,,,,,,,,,,
dhl-benelux,,,,,,,,,,,,,,,,
an-post,,,,,,,,,,,,,,,,
posti,,,,,,,,,,,,,,,,
posten-norge,,,,,,,,,,,,,,,,
sweden-posten,,,,,,,,,,,,,,,,
danmark-post,,,,,,,,,,,,,,,,
italy-sda,,,,,,,,,,,,,,,,
poste-italiane-paccocelere,,,,,,,,,,,,,,,,
poste-italiane,,,,,,,,,,,,,,,,
tnt-it,,,,,,,,,,,,,,,,
russian-post,,,,,,,,,,,,,,,,
nova-poshta,,,,,,,,,,,,,,,,
dhl-poland,,,,,,,,,,,,,,,,
poczta-polska,,,,,,,,,,,,,,,,
dpd-poland,,,,,,,,,,,,,,,,
siodemka,,,,,,,,,,,,,,,,
belpost,,,,,,,,,,,,,,,,
opek,,,,,,,,,,,,,,,,
ukrposhta,,,,,,,,,,,,,,,,
ceska-posta,,,,,,,,,,,,,,,,
elta-courier,,,,,,,,,,,,,,,,
ptt-posta,,,,,,,,,,,,,,,,
kn,,,,,,,,,,,,,,,,
china-post,,,,,,,,,,,,,,,,
china-ems,,,,,,,,,,,,,,,,
4px,,,,,,,,,,,,,,,,
sf-express,,,,,,,,,,,,,,,,
dhl-global-mail-asia,,,,,,,,,,,,,,,,
hong-kong-post,,,,,,,,,,,,,,,,
taqbin-hk,,,,,,,,,,,,,,,,
collectplus,,,,,,,,,,,,,,,,
tgx,,,,,,,,,,,,,,,,
singapore-post,,,,,,,,,,,,,,,,
singapore-speedpost,,,,,,,,,,,,,,,,
taqbin-sg,,,,,,,,,,,,,,,,
korea-post,,,,,,,,,,,,,,,,
india-post,,,,,,,,,,,,,,,,
india-post-int,,,,,,,,,,,,,,,,
bluedart,,,,,,,,,,,,,,,,
dtdc,,,,,,,,,,,,,,,,
dpd-ireland,,,,,,,,,,,,,,,,
dhlparcel-nl,,,,,,,,,,,,,,,,
safexpress,,,,,,,,,,,,,,,,
red-express,,,,,,,,,,,,,,,,
first-flight,,,,,,,,,,,,,,,,
gati-kwe,,,,,,,,,,,,,,,,
japan-post,,,,,,,,,,,,,,,,
sagawa,,,,,,,,,,,,,,,,
taiwan-post,,,,,,,,,,,,,,,,
malaysia-post,,,,,,,,,,,,,,,,
malaysia-post-posdaftar,,,,,,,,,,,,,,,,
skynet,,,,,,,,,,,,,,,,
thailand-post,,,,,,,,,,,,,,,,
cambodia-post,,,,,,,,,,,,,,,,
australia-post,,,,,,,,,,,,,,,,
star-track,,,,,,,,,,,,,,,,
new-zealand-post,,,,,,,,,,,,,,,,
brazil-correios,,,,,,,,,,,,,,,,
flash-courier,,,,,,,,,,,,,,,,
israel-post,,,,,,,,,,,,,,,,
israel-post-domestic,,,,,,,,,,,,,,,,
sapo,,,,,,,,,,,,,,,,
fastway-za,,,,,,,,,,,,,,,,
correos-chile,,,,,,,,,,,,,,,,
saudi-post,,,,,,,,,,,,,,,,
nipost,,,,,,,,,,,,,,,,
correo-argentino,,,,,,,,,,,,,,,,
oca-ar,,,,,,,,,,,,,,,,
correos-de-mexico,,,,,,,,,,,,,,,,
estafeta,,,,,,,,,,,,,,,,
mexico-senda-express,,,,,,,,,,,,,,,,
mexico-redpack,,,,,,,,,,,,,,,,
mexico-multipack,,,,,,,,,,,,,,,,
aeroflash,,,,,,,,,,,,,,,,
cyprus-post,,,,,,,,,,,,,,,,
yundaex,,,,,,,,,,,,,,,,
yanwen,,,,,,,,,,,,,,,,
xend,,,,,,,,,,,,,,,,
xdp-uk,,,,,,,,,,,,,,,,
wedo,,,,,,,,,,,,,,,,
wahana,,,,,,,,,,,,,,,,
vnpost-ems,,,,,,,,,,,,,,,,
vnpost,,,,,,,,,,,,,,,,
viettelpost,,,,,,,,,,,,,,,,
trakpak,,,,,,,,,,,,,,,,
tiki,,,,,,,,,,,,,,,,
taxydromiki,,,,,,,,,,,,,,,,
taqbin-my,,,,,,,,,,,,,,,,
taqbin-jp,,,,,,,,,,,,,,,,
sto,,,,,,,,,,,,,,,,
star-track-express,,,,,,,,,,,,,,,,
specialisedfreight-za,,,,,,,,,,,,,,,,
skynetworldwide-uk,,,,,,,,,,,,,,,,
skynetworldwide,,,,,,,,,,,,,,,,
rpxonline,,,,,,,,,,,,,,,,
rpx,,,,,,,,,,,,,,,,
redur-es,,,,,,,,,,,,,,,,
red-express-wb,,,,,,,,,,,,,,,,
raf,,,,,,,,,,,,,,,,
professional-couriers,,,,,,,,,,,,,,,,
ppbyb,,,,,,,,,,,,,,,,
posta-romana,,,,,,,,,,,,,,,,
pos-indonesia-int,,,,,,,,,,,,,,,,
pos-indonesia,,,,,,,,,,,,,,,,
lietuvos-pastas,,,,,,,,,,,,,,,,
lbcexpress,,,,,,,,,,,,,,,,
kerry-logistics,,,,,,,,,,,,,,,,
jne,,,,,,,,,,,,,,,,
jcex,,,,,,,,,,,,,,,,
jam-express,,,,,,,,,,,,,,,,
i-parcel,,,,,,,,,,,,,,,,
hrvatska-posta,,,,,,,,,,,,,,,,
greyhound,,,,,,,,,,,,,,,,
gojavas,,,,,,,,,,,,,,,,
gls-netherlands,,,,,,,,,,,,,,,,
gls-italy,,,,,,,,,,,,,,,,
ghn,,,,,,,,,,,,,,,,
geodis-calberson-fr,,,,,,,,,,,,,,,,
gdex,,,,,,,,,,,,,,,,
flytexpress,,,,,,,,,,,,,,,,
first-logistics,,,,,,,,,,,,,,,,
fastway-au,,,,,,,,,,,,,,,,
envialia,,,,,,,,,,,,,,,,
ec-firstclass,,,,,,,,,,,,,,,,
dynamic-logistics,,,,,,,,,,,,,,,,
dx,,,,,,,,,,,,,,,,
delhivery,,,,,,,,,,,,,,,,
cyprus-post,,,,,,,,,,,,,,,,
couriers-please,,,,,,,,,,,,,,,,
courierpost,,,,,,,,,,,,,,,,
colissimo,,,,,,,,,,,,,,,,
colis-prive,,,,,,,,,,,,,,,,
cj-gls,,,,,,,,,,,,,,,,
citylinkexpress,,,,,,,,,,,,,,,,
brt-it,,,,,,,,,,,,,,,,
austrian-post-registered,,,,,,,,,,,,,,,,
aupost-china,,,,,,,,,,,,,,,,
asm,,,,,,,,,,,,,,,,
arrowxl,,,,,,,,,,,,,,,,
apc,,,,,,,,,,,,,,,,
air21,,,,,,,,,,,,,,,,
acscourier,,,,,,,,,,,,,,,,
17postservice,,,,,,,,,,,,,,,,
2go,,,,,,,,,,,,,,,,
